Hora,Temp. predicha (°C),CI 95% (°C)
1,5.50,0.51
2,5.50,0.51
3,5.50,0.51
4,5.50,0.51
5,5.50,0.52
6,5.50,0.52
7,5.50,0.52
8,5.50,0.52
9,5.50,0.52
10,5.50,0.53
11,5.50,0.53
12,5.50,0.53
13,5.50,0.53
14,5.50,0.53
15,5.50,0.54
16,5.50,0.54
17,5.49,0.54
18,5.49,0.54
19,5.49,0.55
20,5.49,0.55
21,5.49,0.55
22,5.49,0.56
23,5.49,0.56
24,5.49,0.56
25,5.49,0.56
26,5.49,0.56
27,5.49,0.57
28,5.49,0.57
29,5.49,0.57
30,5.48,0.57
31,5.48,0.57
32,5.48,0.58
33,5.48,0.58
34,5.48,0.58
35,5.48,0.58
36,5.48,0.59
37,5.48,0.59
38,5.47,0.59
39,5.47,0.60
40,5.47,0.60
41,5.47,0.60
42,5.47,0.60
43,5.47,0.60
44,5.47,0.61
45,5.46,0.61
46,5.46,0.61
47,5.46,0.61
48,5.46,0.62
49,5.46,0.62
50,5.46,0.62
51,5.45,0.62
52,5.45,0.63
53,5.45,0.63
54,5.45,0.63
55,5.45,0.63
56,5.45,0.63
57,5.44,0.64
58,5.44,0.64
59,5.44,0.64
60,5.44,0.64
61,5.44,0.65
62,5.43,0.65
63,5.43,0.65
64,5.43,0.65
65,5.43,0.66
66,5.42,0.66
67,5.42,0.66
68,5.42,0.66
69,5.42,0.66
70,5.42,0.67
71,5.41,0.67
72,5.41,0.67
73,5.41,0.67
74,5.41,0.68
75,5.40,0.68
76,5.40,0.68
77,5.40,0.68
78,5.40,0.68
79,5.39,0.69
80,5.39,0.69
81,5.39,0.69
82,5.38,0.70
83,5.38,0.70
84,5.38,0.70
85,5.38,0.70
86,5.37,0.71
87,5.37,0.71
88,5.37,0.71
89,5.37,0.71
90,5.36,0.71
91,5.36,0.72
92,5.36,0.72
93,5.35,0.72
94,5.35,0.72
95,5.35,0.73
96,5.34,0.73
97,5.34,0.73
98,5.34,0.73
99,5.34,0.73
100,5.33,0.74
101,5.33,0.74
102,5.33,0.74
103,5.32,0.74
104,5.32,0.75
105,5.32,0.75
106,5.31,0.75
107,5.31,0.76
108,5.31,0.76
109,5.30,0.76
110,5.30,0.76
111,5.30,0.76
112,5.29,0.77
113,5.29,0.77
114,5.29,0.77
115,5.28,0.77
116,5.28,0.78
117,5.28,0.78
118,5.27,0.78
119,5.27,0.78
120,5.26,0.79
121,5.26,0.79
122,5.26,0.79
123,5.25,0.79
124,5.25,0.79
125,5.25,0.80
126,5.24,0.80
127,5.24,0.80
128,5.24,0.80
129,5.23,0.81
130,5.23,0.81
131,5.22,0.81
132,5.22,0.81
133,5.22,0.82
134,5.21,0.82
135,5.21,0.82
136,5.20,0.82
137,5.20,0.82
138,5.20,0.83
139,5.19,0.83
140,5.19,0.83
141,5.19,0.83
142,5.18,0.84
143,5.18,0.84
144,5.17,0.84
145,5.17,0.84
146,5.17,0.85
147,5.16,0.85
148,5.16,0.85
149,5.15,0.85
150,5.15,0.86
151,5.15,0.86
152,5.14,0.86
153,5.14,0.86
154,5.13,0.86
