Sexo,Altura (cm),Peso (Kg),Edad
Femenino,163,57,30
Femenino,165,56,40
Masculino,167,74,31
Masculino,169,65,38
Femenino,152,57,34
Masculino,164,67,27
Femenino,170,59,24
Masculino,167,62,30
Femenino,165,59,21
Femenino,154,57,31
Femenino,157,67,40
Masculino,170,67,31
Femenino,157,62,42
Masculino,168,70,31
Masculino,170,76,39
Masculino,172,72,39
Femenino,158,62,34
Femenino,153,56,44
Masculino,176,64,35
Masculino,159,66,27
Femenino,159,61,29
Femenino,170,59,42
Femenino,155,59,43
Masculino,162,68,35
Femenino,156,55,30
Masculino,167,74,43
Masculino,172,73,23
Femenino,160,58,36
Masculino,160,73,27
Masculino,172,77,38
Masculino,163,64,33
Masculino,161,69,28
Masculino,165,70,33
Femenino,166,61,40
Masculino,155,71,42
Masculino,168,60,24
Masculino,170,65,22
Femenino,162,69,43
Masculino,165,70,23
Masculino,160,66,35
Masculino,164,68,37
Femenino,148,64,21
Femenino,160,61,41
Masculino,157,62,32
Masculino,163,75,23
Femenino,158,62,34
Femenino,172,58,40
Masculino,150,56,21
Femenino,165,65,29
Masculino,171,69,21
Masculino,157,75,44
Femenino,156,60,25
Masculino,164,63,34
Masculino,165,69,39
Masculino,157,71,22
Masculino,165,67,38
Femenino,159,64,24
Masculino,161,65,30
Femenino,155,60,30
Masculino,161,69,26
Femenino,157,59,30
Masculino,170,66,34
Femenino,164,61,39
Femenino,160,62,21
Femenino,152,61,32
Femenino,161,61,26
Femenino,162,65,43
Femenino,160,65,32
Masculino,167,67,40
Masculino,165,65,37
Femenino,158,63,30
Femenino,178,59,28
Femenino,159,64,42
Femenino,154,60,35
Femenino,155,57,33
Masculino,157,70,35
Femenino,156,63,32
Femenino,165,60,25
Femenino,162,55,31
Femenino,148,56,30
Masculino,166,70,40
Masculino,166,75,36
Masculino,165,81,42
Femenino,163,61,44
Masculino,168,64,22
Femenino,162,57,22
Masculino,161,73,30
Femenino,163,67,39
Masculino,170,67,23
Masculino,167,64,25
Femenino,166,63,36
Femenino,164,64,42
Masculino,162,69,23
Femenino,157,64,40
Femenino,167,57,24
Masculino,162,73,35
Masculino,166,72,43
Femenino,162,63,23
Femenino,158,63,42
Masculino,162,68,39
Femenino,163,66,29
Femenino,165,57,40
Femenino,162,61,43
Femenino,163,54,29
Femenino,163,55,39
Masculino,163,72,37
Masculino,167,71,35
Femenino,156,57,40
Femenino,165,64,33
Femenino,164,54,41
Masculino,169,66,26
Femenino,159,62,32
Femenino,157,59,24
Femenino,166,53,24
Masculino,167,70,36
Femenino,163,54,29
Femenino,163,57,23
Femenino,154,62,37
Masculino,176,69,25
Masculino,165,70,42
Masculino,158,62,23
Masculino,166,63,38
Femenino,165,62,27
Masculino,163,75,30
Femenino,161,55,26
Femenino,163,60,32
Femenino,166,55,42
Masculino,160,69,26
Femenino,155,59,39
Masculino,162,71,37
Masculino,168,72,43
Femenino,169,57,30
Masculino,173,66,31
Masculino,169,66,38
Femenino,169,64,29
Femenino,151,62,32
Femenino,164,64,36
Femenino,167,56,37
Femenino,169,61,28
Masculino,163,70,42
Masculino,173,63,29
Masculino,167,66,27
Masculino,168,72,26
Masculino,160,75,41
Femenino,155,60,37
Femenino,165,56,26
Femenino,161,54,29
Masculino,155,67,38
Masculino,166,75,27
Masculino,165,67,32
Masculino,174,72,25
Masculino,158,73,23
Femenino,158,66,43
Femenino,167,56,37
Femenino,162,59,24
Femenino,156,57,37
Femenino,158,59,21
Femenino,156,57,24
Femenino,169,61,40
Masculino,164,62,42
Femenino,154,62,22
Femenino,159,48,36
Masculino,155,67,25
Femenino,159,57,42
Masculino,162,64,41
Femenino,155,56,33
Femenino,155,58,24
Femenino,155,60,39
Masculino,165,66,42
Masculino,168,67,38
Masculino,165,66,29
Masculino,168,73,44
Masculino,161,76,27
Masculino,163,59,28
Masculino,165,70,31
Masculino,163,68,40
Femenino,166,59,35
Femenino,158,63,28
Femenino,153,71,30
Femenino,156,65,41
Masculino,166,77,41
Masculino,162,65,22
Femenino,168,65,28
Masculino,171,64,42
Masculino,157,70,41
Masculino,163,77,31
Femenino,162,61,44
Masculino,166,67,40
Femenino,158,60,30
Masculino,159,77,28
Femenino,167,61,25
Femenino,150,54,23
Femenino,162,57,23
Masculino,179,66,42
