Sexo,Altura (cm)
Femenino,160
Femenino,161
Masculino,166
Femenino,164
Masculino,163
Femenino,164
Femenino,159
Femenino,163
Masculino,160
Masculino,168
Masculino,159
Femenino,172
Femenino,159
Femenino,162
Masculino,167
Femenino,167
Femenino,151
Femenino,164
Masculino,167
Femenino,159
Femenino,165
Masculino,161
Masculino,168
Femenino,168
Femenino,167
Femenino,159
Masculino,169
Masculino,162
Femenino,158
Femenino,158
Masculino,161
Femenino,165
Masculino,174
Masculino,159
Femenino,156
Masculino,173
Masculino,169
Femenino,166
Masculino,152
Masculino,167
Masculino,164
Femenino,156
Femenino,155
Masculino,171
Femenino,161
Masculino,164
Masculino,167
Masculino,170
Masculino,164
Femenino,165
Femenino,159
Masculino,172
Masculino,165
Masculino,163
Femenino,158
Masculino,159
Masculino,164
Masculino,161
Masculino,172
Femenino,162
Masculino,171
Masculino,168
Masculino,169
Masculino,164
Femenino,164
Masculino,169
Masculino,164
Femenino,161
Masculino,163
Masculino,168
Femenino,166
Femenino,157
Masculino,169
Masculino,169
Femenino,154
Femenino,163
Masculino,166
Masculino,164
Femenino,161
Femenino,159
Masculino,162
Masculino,167
Femenino,162
Masculino,164
Masculino,167
Masculino,168
Masculino,158
Masculino,167
Masculino,174
Femenino,153
Femenino,161
Masculino,166
Femenino,167
Masculino,166
Femenino,153
Masculino,165
Femenino,158
Femenino,168
Masculino,167
Femenino,161
Femenino,164
Masculino,175
Femenino,156
Masculino,158
Femenino,158
Femenino,167
Femenino,166
Femenino,157
Masculino,160
Masculino,171
Femenino,159
Masculino,155
Femenino,169
Femenino,161
Femenino,154
Femenino,167
Femenino,164
Femenino,156
Femenino,162
Femenino,159
Femenino,165
Femenino,154
Masculino,168
Femenino,157
Masculino,160
Masculino,161
Femenino,155
Femenino,155
Masculino,173
Femenino,164
Femenino,161
Femenino,172
Femenino,172
Femenino,158
Masculino,164
Femenino,153
Masculino,168
Femenino,175
Femenino,163
Femenino,161
Femenino,163
Masculino,169
Femenino,169
Masculino,162
Masculino,169
Femenino,163
Femenino,169
Femenino,154
Masculino,165
Masculino,165
Femenino,164
Masculino,159
Femenino,160
Femenino,154
Masculino,164
Femenino,165
Masculino,167
Femenino,166
Femenino,166
Femenino,163
Masculino,167
Masculino,161
Masculino,163
Masculino,173
Masculino,159
Femenino,168
Masculino,171
Masculino,168
Masculino,157
Masculino,161
Femenino,159
Femenino,149
Femenino,169
Femenino,162
Femenino,158
Femenino,163
Masculino,165
Femenino,157
Masculino,175
Masculino,152
Masculino,164
Masculino,175
Masculino,167
Masculino,165
Masculino,169
Masculino,159
Masculino,166
Masculino,175
Masculino,165
Femenino,153
Masculino,166
Masculino,170
Femenino,157
Femenino,155
Masculino,164
Masculino,168
Masculino,161
Femenino,162
Masculino,166
Masculino,158
Femenino,162
Masculino,169
Masculino,171
Femenino,164
Masculino,165
Masculino,160
Masculino,160
Femenino,162
Femenino,170
Femenino,171
Femenino,156
Masculino,168
Masculino,167
Masculino,158
Femenino,162
Femenino,166
Femenino,156
Masculino,172
Femenino,158
Masculino,162
Femenino,166
Femenino,163
Femenino,161
Masculino,161
Femenino,163
Femenino,162
Femenino,157
Masculino,172
Femenino,162
Femenino,165
Femenino,157
Femenino,167
Masculino,159
Femenino,153
Masculino,174
Masculino,162
Masculino,162
Masculino,168
Masculino,169
Femenino,158
Masculino,163
Masculino,162
Femenino,170
Femenino,158
Masculino,174
Masculino,170
Masculino,168
Femenino,154
Masculino,167
Femenino,156
Masculino,161
Masculino,171
Femenino,159
Masculino,164
Femenino,161
Masculino,165
Masculino,165
Femenino,150
Masculino,165
Femenino,166
Masculino,175
Masculino,159
Masculino,172
Femenino,164
Femenino,168
Femenino,175
Masculino,165
Femenino,168
Masculino,169
Femenino,165
Masculino,164
Masculino,169
Masculino,168
Femenino,161
Femenino,157
Masculino,165
Masculino,163
Masculino,166
Masculino,162
Masculino,167
Femenino,160
Femenino,160
Femenino,164
Masculino,159
Masculino,163
Femenino,158
Masculino,170
Masculino,154
Femenino,155
Femenino,159
Masculino,170
Masculino,168
Masculino,168
Femenino,163
Femenino,161
Masculino,163
Femenino,159
Femenino,166
Masculino,165
Femenino,158
Masculino,169
Masculino,168
Femenino,161
Masculino,162
Masculino,166
Femenino,165
Femenino,168
Masculino,165
Masculino,167
Masculino,166
Masculino,163
Masculino,174
Masculino,169
Masculino,169
Femenino,155
Masculino,171
Masculino,168
Masculino,166
Femenino,156
Masculino,160
Masculino,162
Masculino,164
Femenino,162
Femenino,159
Masculino,160
Masculino,174
Masculino,167
Femenino,154
Masculino,157
Masculino,164
Masculino,167
Femenino,164
Masculino,160
Masculino,167
Femenino,169
Femenino,168
Femenino,157
Masculino,165
Femenino,156
Masculino,163
Masculino,163
Masculino,179
Femenino,170
Masculino,168
Masculino,169
Femenino,164
Femenino,155
Femenino,170
Masculino,156
Masculino,166
Femenino,159
Femenino,157
Femenino,155
Femenino,156
Masculino,172
Masculino,175
Masculino,166
Masculino,164
Masculino,166
Femenino,165
Femenino,157
Femenino,156
Femenino,156
Femenino,160
Femenino,159
Masculino,166
Femenino,165
Femenino,157
Femenino,165
Masculino,164
Masculino,178
Femenino,171
Femenino,172
Masculino,160
Femenino,165
Masculino,173
Femenino,162
Femenino,162
Masculino,161
Masculino,167
Masculino,154
Femenino,161
Femenino,165
Femenino,151
Femenino,166
Femenino,165
Masculino,156
Masculino,168
Femenino,165
Masculino,168
Femenino,160
Masculino,174
Femenino,157
Femenino,149
Femenino,154
Femenino,162
Femenino,162
Femenino,163
Femenino,158
Masculino,163
Femenino,158
Masculino,169
Masculino,165
Masculino,171
Femenino,167
Femenino,168
Femenino,154
Masculino,165
Femenino,156
Masculino,160
Femenino,167
Femenino,162
Femenino,154
Femenino,161
Femenino,167
Masculino,172
Masculino,164
Masculino,167
Femenino,165
Femenino,165
Masculino,171
Femenino,170
Femenino,167
Masculino,168
Masculino,162
Masculino,161
Femenino,169
Masculino,163
Femenino,159
Masculino,161
Masculino,167
Masculino,159
Femenino,157
Masculino,163
Masculino,166
Masculino,167
Masculino,161
Masculino,160
Masculino,167
Masculino,163
Masculino,162
Femenino,162
Masculino,153
Masculino,164
Masculino,166
Masculino,164
Femenino,152
Femenino,153
Masculino,158
Femenino,160
Masculino,163
Masculino,161
Masculino,166
Femenino,155
Femenino,161
Masculino,165
Femenino,163
Femenino,161
Masculino,168
Femenino,163
Masculino,167
Masculino,169
Femenino,180
Femenino,161
Masculino,170
Masculino,168
Masculino,165
Femenino,165
Masculino,169
Femenino,152
Masculino,173
Masculino,164
Femenino,161
Masculino,159
Femenino,160
Masculino,166
Masculino,170
Masculino,168
Masculino,165
Femenino,164
Masculino,166
Masculino,167
Femenino,159
Masculino,163
Masculino,174
Masculino,171
Femenino,169
Femenino,167
Masculino,161
Masculino,168
Femenino,159
Masculino,163
Femenino,167
Masculino,167
Masculino,168
Masculino,169
Masculino,170
Masculino,161
Femenino,160
Masculino,163
Femenino,159
Femenino,165
Masculino,159
Femenino,156
Masculino,178
Masculino,156
Masculino,163
Masculino,166
Masculino,163
Masculino,160
Femenino,160
Masculino,167
Masculino,164
Masculino,159
Femenino,166
Masculino,160
Masculino,167
Masculino,158
Masculino,162
Masculino,164
Femenino,160
Femenino,158
Femenino,158
Femenino,163
Femenino,158
Masculino,163
Femenino,168
Femenino,163
Masculino,165
Femenino,163
Femenino,168
Masculino,174
Femenino,152
Masculino,162
Femenino,166
Femenino,142
Femenino,158
Femenino,166
Masculino,166
Masculino,168
Femenino,152
Femenino,163
Masculino,159
Femenino,170
Masculino,165
Masculino,165
Femenino,153
Femenino,158
Masculino,161
Masculino,168
Femenino,170
Femenino,154
Femenino,160
Femenino,160
Femenino,166
Masculino,168
Femenino,155
Masculino,160
Masculino,174
Femenino,159
Masculino,170
Femenino,153
Femenino,157
Femenino,163
Masculino,171
Femenino,161
Femenino,169
Masculino,157
Femenino,165
Masculino,166
Femenino,164
Masculino,168
Femenino,161
Masculino,169
Masculino,174
Masculino,174
Masculino,170
Masculino,162
Masculino,163
Masculino,169
Masculino,155
Femenino,154
Femenino,159
Femenino,164
Femenino,161
Femenino,155
Femenino,164
Femenino,164
Masculino,164
Masculino,166
Femenino,157
Femenino,163
Masculino,162
Femenino,164
Masculino,158
Masculino,166
Femenino,159
Masculino,173
Femenino,160
Femenino,157
Masculino,163
Femenino,157
Femenino,155
Masculino,164
Masculino,167
Femenino,157
Femenino,168
Masculino,165
Femenino,163
Masculino,174
Femenino,155
Masculino,161
Masculino,164
Masculino,170
Femenino,158
Femenino,161
Masculino,161
Masculino,169
Masculino,173
Masculino,165
Masculino,171
Femenino,167
Masculino,163
Masculino,168
Masculino,173
Masculino,172
Femenino,157
Masculino,174
Masculino,164
Masculino,169
Masculino,170
Masculino,164
Femenino,157
Femenino,158
Femenino,164
Femenino,167
Femenino,164
Masculino,171
Femenino,160
Femenino,162
Femenino,159
Femenino,154
Femenino,166
Femenino,164
Masculino,168
Femenino,161
Femenino,165
Femenino,168
Masculino,160
Masculino,159
Masculino,162
Masculino,168
Masculino,164
Masculino,173
Femenino,168
Masculino,167
Femenino,152
Femenino,166
Femenino,172
Femenino,155
Masculino,158
Femenino,160
Masculino,163
Masculino,161
Masculino,161
Femenino,162
Femenino,165
Masculino,163
Femenino,169
Masculino,163
Femenino,171
Femenino,165
Masculino,167
Masculino,167
Masculino,170
Femenino,152
Masculino,164
Masculino,174
Femenino,166
Masculino,161
Femenino,167
Femenino,156
Femenino,162
Femenino,163
Masculino,168
Masculino,158
Femenino,159
Femenino,160
Masculino,162
Femenino,157
Masculino,164
Femenino,152
Masculino,164
Femenino,166
Masculino,164
Femenino,162
Masculino,165
Masculino,156
Femenino,163
Femenino,158
Masculino,164
Masculino,162
Femenino,162
Femenino,167
Femenino,161
Masculino,171
Femenino,162
Masculino,166
Femenino,169
Femenino,166
Femenino,160
Masculino,166
Masculino,165
